137,2,"凸轮式上升器","Túlúnshì shàngshēngqì"
137,3,"吉布斯上升器","Jíbù sī shàngshēngqì"
138,1,"毛管边缘","Máoguǎn biānyuán"
138,2,"毛细带","Máoxìdài"
138,3,"毛细上升区","Máoxì shàngshēngqū"
139,1,"锁","Suǒ"
139,2,"丝簧锁","Sīhuáng suǒ"
140,1,"电石（灯）","Diànshí (dēng)"
141,1,"石芽","Shíyá"
141,2,"石灰岩岩脊","Shíhuīyán yánjí"
141,3,"溶沟","Rónggōu"
142,1,"喀斯特","Kāsītè"
142,2,"岩溶","Yánróng"
143,1,"喀斯特洞穴","Kāsītè dòngxué"
143,2,"岩溶洞穴","Yánróng dòngxué"
144,1,"喀斯特高原","Kāsītè gāoyuán"
145,1,"岩溶泉","Yánróngquán"
146,1,"岩溶现象","Yánróng xiànxiàng"
147,1,"岩溶化","Yánrónghuà"
148,1,"岩溶潜水面","Yánróng qiánshuǐmiàn"
148,2,"岩溶地下水面","Yánróng dìxiàshuǐmiàn"
150,1,"洞穴群","Dòngxuéqún"
150,2,"探洞组","Tàndòngzǔ"
151,1,"洞穴堆积","Dòngxué duījī"
151,2,"洞穴沉积","Dòngxué chénjī"
151,3,"洞穴化学沉积物","Dòngxué huàxuéchénjīwù"
152,1,"横截面","Héngjiémiàn"
152,2,"横断面","Héngduànmiàn"
152,3,"横剖面","Héngpōumiàn"
153,1,"混合溶蚀","Hùnhé róngshí"
154,1,"已开拓区","Yǐkāitàqū"
154,2,"已扩展段","Yǐkuòzhǎnduàn"
154,3,"扩展截面","Kuòzhǎn jiémiàn"
155,1,"锚固","Máogù"
156,1,"洞穴充填物","Dòngxué chōngtiánwù"
157,1,"壁龛","Bìkān"
157,2,"悬岩","Xuányán"
157,3,"岩棚","Yánpéng"
158,1,"天生桥","Tiānshēngqiáo"
158,2,"自生桥","Zìshēngqiáo"
159,1,"罗盘","Luópán"
161,1,"腐蚀","Fǔshí"
161,2,"侵蚀","Qīnshí"
162,1,"编织绳","Biānzhīshéng"
163,1,"主绳","Zhǔshéng"
163,2,"绳子","Shéngzi"
165,1,"布绳","Bùshéng"
166,1,"水晶","Shuǐjīng"
166,2,"晶体","Jīngtǐ"
167,1,"锥形山","Zhuīxíngshān"
168,1,"盆地喀斯特","Péndìkāsītè"
168,2,"麻窝状岩溶","Máwōzhuàng yánróng"
168,3,"峰丛","Fēngcóng"
168,4,"凯格尔岩溶","Kǎigé'ěr yánróng"
168,5,"多边形喀斯特","Duōbiānxíng kāsītè"
170,1,"狭小通道","Xiáxiǎotōngdào"
170,2,"低走廊","Dīzǒuláng"
170,3,"排水管","Páishuǐguǎn"
171,1,"半喀斯特","Bànkāsītè"
