143,1,"カルスト洞窟","karusuto dokutsu"
144,1,"カルスト台地","karusuto daichi"
145,1,"カルスト湧泉","karusuto yusen"
145,2,"カルスト泉","karusutosen"
146,1,"カルスト現象","karusuto gensho"
147,1,"カルスト化","karusutoka"
148,1,"カルスト地下水面","karusuto chikasuimen"
150,1,"洞窟群","dokutsu gun"
151,1,"二次生成物","niji seiseibutsu"
151,2,"洞窟生成物","dokutsu seiseibutsu"
151,3,"形成物","keiseibutsu"
152,1,"横断面","odammen"
152,2,"断面","dammen"
153,1,"混合浸食","kongo shinshoku"
154,1,"展開面","tenkai men"
154,2,"展開断面","tenkai dammen"
155,1,"支点","shiten"
155,2,"固定","kotei"
155,3,"アンカー","anka"
156,1,"洞内充填物","donai jutenbutsu"
156,2,"洞内堆積物","donai taisekibutsu"
157,1,"ニッチ","nicchi"
158,1,"天然橋","tennen bashi"
158,2,"ナチュラルブリッジ","nachuraruburijji"
159,1,"方位磁石","hoi jishaku"
159,2,"方位磁針","hoi jishin"
159,3,"コンパス","konpasu"
161,1,"浸食","shinshoku"
162,1,"カーンマントルロープ","kammantoruropu"
162,2,"ケルンマントルロープ","kerummantoruropu"
163,1,"縄","nawa"
163,2,"ロープ","ropu"
163,3,"ザイル","zairu"
165,1,"リギング","rigingu"
166,1,"水晶","suisho"
166,2,"クリスタル","kurisutaru"
167,1,"コーンヒル","konhiru"
168,1,"円錐カルスト","ensui karusuto"
168,2,"コックピットカルスト","kokkupitto karusuto"
170,1,"狭洞","kyodo"
170,2,"クロールウェイ","kuroruwei"
171,1,"メロカルスト","merokarusuto"
173,1,"フットケイブ","futtokeibu"
174,1,"迷路","meiro"
174,2,"迷宮","meikyu"
175,1,"洞内植物","donai shokubutsu"
176,1,"本結び","hommusubi"
176,2,"堅結び","katamusubi"
176,3,"こま結び","komamusubi"
176,4,"真結び","mamusubi"
176,5,"リーフノット","rifunotto"
176,6,"スクウェアノット","sukuweanotto"
177,1,"溶岩洞","yogando"
177,2,"溶岩チューブ","yoganchubu"
177,3,"火山洞窟","kazan dokutsu"
178,1,"発見","hakken"
178,2,"発掘","hakkutsu"
179,1,"足場","ashiba"
179,2,"足掛かり","ashigakari"
179,3,"ホールド","horudo"
181,1,"泥灰土","deibaido"
181,2,"土","tsuchi"
182,1,"大理石","dairiseki"
183,1,"登攀","tohan"
183,2,"クライミング","kuraimingu"
184,1,"登攀する","tohansuru"
184,2,"登る","noboru"
184,3,"上がる","agaru"
185,1,"登攀器","tohanki"
185,2,"アッセンダー","assenda"
186,1,"登り棒","noboribo"
187,1,"蛇行","dako"
187,2,"メアンダー","meanda"
188,1,"チェストハーネス","chesutohanesu"
189,1,"洞窟救助","dokutsu kyujo"
189,2,"レスキュー","resukyu"
189,3,"ケイブレスキュー","keiburesukyu"
190,1,"潜水","sensui"
190,2,"ダイビング","daibingu"
191,1,"潜る","moguru"
191,2,"潜水する","sensuisuru"
192,1,"石灰質の","sekkaishitsuno"
192,2,"白亜質の","hakuashitsuno"
193,1,"石灰岩","sekkaigan"
193,2,"ライムストーン","raimusuton"
194,1,"石灰岩台地","sekkaigan daichi"
196,1,"リムストーンプール","rimustompuru"
196,2,"リムストーンダム","rimustondamu"
199,1,"締め金","shimegane"
199,2,"ボルト","boruto"
200,1,"溶食","yoshoku"
200,2,"溶解","yokai"
200,3,"溶けること","tokerukoto"
201,1,"落石","rakuseki"
201,2,"崩壊物","hokaibutsu"
202,1,"陥没","kambotsu"
202,2,"崩落","horaku"
202,3,"崩れる","kuzureru"
202,4,"崩落する","horakusuru"
203,1,"自己確保","jikokakuho"
203,2,"セルフビレイ","serufu　birei"
204,1,"セルフレスキュー","serufu　resukyu"
206,1,"古カルスト","kokarusuto"
206,2,"パレオカルスト","pareokarusuto"
207,1,"石柱","sekichu"
208,1,"つなぎ","tsunagi"
208,2,"つなぎ服","tsunagi　fuku"
208,3,"オーバースーツ","obasutsu"
208,4,"ケイビングスーツ","keibingusutsu"
210,1,"岩層","ganso"
210,2,"岩礁","gansho"
211,1,"地下川洞","chikasendo"
211,2,"水流洞窟","suiryu dokutsu"
212,1,"８の字結び","hachinoji musubi"
212,2,"エイト・ループ結び","eito rupu musubi"
212,3,"エイト結び","eito musubi"
212,4,"フィギュアエイトノット","figyuaeitonotto"
213,1,"カルストボーダー","karusutoboda"
214,1,"ペツルボビン","petsurubobin"
216,1,"測線","sokusen"
217,1,"溶食盆地","yoshoku bonchi"
217,2,"ポリエ","porie"
218,1,"プルージック結び","purujikku musubi"
218,2,"プルージックノット","purujikkunotto"
219,1,"ロープ登高","ropu toko"
219,2,"ロープ登攀","ropu tohan"
219,3,"プルージック登高","purujikku toko"
219,4,"プルージック登攀","purujikku tohan"
219,5,"プルージッキング","purujikkingu"
